order	arm	rep	business_samples	business_p50_ms	business_p95_ms	business_p99_ms	business_min_ms	business_max_ms	trim_calls	trim_p50_ms	trim_p95_ms	trim_p99_ms	trim_max_ms	reclaimed_median_kb	reclaimed_min_kb	reclaimed_max_kb	reclaim_pct_of_pre_median	primary_minflt_sum	primary_majflt_sum	external_samples	external_overruns	exit_code
1	none	1	50	20007.144636	20011.893248	20027.69547	20006.305044	20027.69547	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3937	0	1088	0	0
2	trim-at-loop-release	1	50	20009.2411	20013.355358	20018.325636	20008.194377	20018.325636	51	0.663222	0.835407	1.376555	1.376555	1016.0	856.0	1320.0	36.494253	22879	0	1088	0	0
3	trim-at-loop-release	2	50	20009.143228	20011.629636	20016.272729	20008.385063	20016.272729	51	0.663037	0.86976	1.097408	1.097408	1000.0	872.0	1320.0	36.772047	22456	0	1088	0	0
4	none	2	50	20007.533432	20012.752414	20019.97847	20006.570729	20019.97847	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4100	0	1088	0	0
5	none	3	50	20007.370248	20013.191896	20015.901321	20006.439488	20015.901321	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4003	0	1088	0	0
6	trim-at-loop-release	3	50	20009.254729	20015.847359	20019.066192	20008.222136	20019.066192	51	0.662259	0.913074	0.972963	0.972963	1096.0	860.0	1324.0	38.354254	22601	0	1088	0	0
