bin	start_timestamp	target	pid_set	valid_samples	glibc_median_kb	glibc_min_kb	glibc_max_kb	other_anon_median_kb	file_backed_median_kb	MemAvailable_median_kb	zram_used_median_kb
2	2026-08-13T23:20:09,751657368-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	AppProcB	896	15	6804	6572	6804	11780	6416	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	AppProcD	424	15	12668	12592	12684	18656	5140	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	buxton2d_worker	229	15	1212	836	1212	32	440	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	cynara	205	15	1648	1648	1652	1032	212	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	ServiceH	719,2869	12	3968	3384	4100	4004	3040	1012902	81296
2	2026-08-13T23:20:09,751657368-0700	enlightenment	258	15	2744	888	2744	968	3036	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	ServiceD	1037	15	588	180	588	2128	3224	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	systemd	1	15	1136	1124	1144	164	440	1011760	81296
2	2026-08-13T23:20:09,751657368-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1011760	81296
3	2026-08-13T23:20:39,751850778-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	AppProcB	896	15	6828	6804	6852	11780	6416	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	AppProcD	424	15	12684	12668	12684	18728	5140	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	cynara	205	15	1648	1648	1648	1032	212	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	ServiceH	719	15	3964	3960	3964	4004	3040	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	enlightenment	258	15	2724	2724	2744	968	3036	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	ServiceD	1037	15	588	588	588	2128	3224	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	systemd	1	15	1144	1144	1144	164	440	1034136	79504
3	2026-08-13T23:20:39,751850778-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1034136	79504
4	2026-08-13T23:21:09,754496271-0700	AppProcA	2724	15	1212	1212	1216	3644	3732	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	AppProcD	424	15	12684	12684	12684	18728	5140	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	cynara	205	15	1648	1648	1648	1032	212	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	enlightenment	258	15	2724	2724	2724	968	3036	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	ServiceD	1037	15	588	588	588	2128	3224	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	systemd	1	15	1144	1144	1144	164	440	1042464	79504
4	2026-08-13T23:21:09,754496271-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1042464	79504
5	2026-08-13T23:21:39,753111847-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1041996	79504
5	2026-08-13T23:21:39,753111847-0700	AppProcD	424	15	12684	12684	12684	18724	5140	1041996	79504
