part	profile	actual_profile	grid	rep	attempt	threads	extra_args	exit_code	throughput_ops_per_s	p50	p99	measure_rss_kb_median	idle_rss_kb	idle_free_delta_kb	idle_trim_ret	temp_before	json_status	local_dir
A	mixed	mixed	C0	2	1	4		0	2008889.295	257	1219	114588	114624	n/a	n/a	34563	ok	board_results/batch25/mixed/C0/rep2
A	mixed	mixed	C0	3	1	4		0	2013608.426	251	1210	115424	115460	n/a	n/a	35537	ok	board_results/batch25/mixed/C0/rep3
A	mixed	mixed	arena2	1	1	4		0	1087237.599	423	17670	108348	108360	n/a	n/a	36511	ok	board_results/batch25/mixed/arena2/rep1
A	mixed	mixed	arena2	2	1	4		0	1096420.329	423	17489	109500	109512	n/a	n/a	34563	ok	board_results/batch25/mixed/arena2/rep2
A	mixed	mixed	arena2	3	1	4		0	1086463.451	424	17580	109188	109200	n/a	n/a	35537	ok	board_results/batch25/mixed/arena2/rep3
A	mixed	mixed	arena3	1	1	4		0	1575262.628	270	5411	110128	110140	n/a	n/a	34563	ok	board_results/batch25/mixed/arena3/rep1
A	mixed	mixed	arena3	2	1	4		0	1561580.052	279	6891	111016	111028	n/a	n/a	36024	ok	board_results/batch25/mixed/arena3/rep2
A	mixed	mixed	arena3	3	1	4		0	1567803.86	279	6766	110936	110948	n/a	n/a	36024	ok	board_results/batch25/mixed/arena3/rep3
A	mixed	mixed	arena4	1	1	4		0	2029256.103	247	1189	113448	113460	n/a	n/a	35050	ok	board_results/batch25/mixed/arena4/rep1
A	mixed	mixed	arena4	2	1	4		0	2025102.072	242	1188	113344	113356	n/a	n/a	34563	ok	board_results/batch25/mixed/arena4/rep2
A	mixed	mixed	arena4	3	1	4		0	2029159.323	246	1187	114688	114700	n/a	n/a	35050	ok	board_results/batch25/mixed/arena4/rep3
A	large-transient	large-transient	C0	1	1	4		0	96986.553	352	59065	107436	107448	n/a	n/a	35537	ok	board_results/batch25/large-transient/C0/rep1
A	large-transient	large-transient	C0	2	1	4		0	97273.05	342	53776	107540	107552	n/a	n/a	35050	ok	board_results/batch25/large-transient/C0/rep2
A	large-transient	large-transient	C0	3	1	4		0	96602.178	345	61648	107112	107124	n/a	n/a	35050	ok	board_results/batch25/large-transient/C0/rep3
A	large-transient	large-transient	arena2	1	1	4		0	93257.452	348	71553	97008	97024	n/a	n/a	35050	ok	board_results/batch25/large-transient/arena2/rep1
A	large-transient	large-transient	arena2	2	1	4		0	95512.479	351	58456	96432	96444	n/a	n/a	34076	ok	board_results/batch25/large-transient/arena2/rep2
A	large-transient	large-transient	arena2	3	1	4		0	95290.525	341	60838	95092	95104	n/a	n/a	35537	ok	board_results/batch25/large-transient/arena2/rep3
A	large-transient	large-transient	arena3	1	1	4		0	95452.519	330	58267	102432	102452	n/a	n/a	36024	ok	board_results/batch25/large-transient/arena3/rep1
A	large-transient	large-transient	arena3	2	1	4		0	97307.982	343	57277	102956	102972	n/a	n/a	34563	ok	board_results/batch25/large-transient/arena3/rep2
A	large-transient	large-transient	arena3	3	1	4		0	97148.46	340	60691	99656	99680	n/a	n/a	35537	ok	board_results/batch25/large-transient/arena3/rep3
A	large-transient	large-transient	arena4	1	1	4		0	95969.52	336	62046	103920	103932	n/a	n/a	36511	ok	board_results/batch25/large-transient/arena4/rep1
A	large-transient	large-transient	arena4	2	1	4		0	96546.12	338	54200	107056	107080	n/a	n/a	34076	ok	board_results/batch25/large-transient/arena4/rep2
A	large-transient	large-transient	arena4	3	1	4		0	95632.017	339	61498	105680	105692	n/a	n/a	35537	ok	board_results/batch25/large-transient/arena4/rep3
A	mixed-t2	mixed	C0	1	1	2		0	1196878.99	241	934	58668	58688	n/a	n/a	35537	ok	board_results/batch25/mixed-t2/C0/rep1
A	mixed-t2	mixed	C0	2	1	2		0	1194254.887	242	931	57868	57888	n/a	n/a	34563	ok	board_results/batch25/mixed-t2/C0/rep2
A	mixed-t2	mixed	C0	3	1	2		0	1194537.579	239	926	57796	57816	n/a	n/a	34076	ok	board_results/batch25/mixed-t2/C0/rep3
A	mixed-t2	mixed	arena2	1	1	2		0	1204550.602	228	900	56616	56628	n/a	n/a	34563	ok	board_results/batch25/mixed-t2/arena2/rep1
A	mixed-t2	mixed	arena2	2	1	2		0	1204864.112	229	881	56224	56236	n/a	n/a	34563	ok	board_results/batch25/mixed-t2/arena2/rep2
A	mixed-t2	mixed	arena2	3	1	2		0	1199942.924	228	900	56776	56788	n/a	n/a	34076	ok	board_results/batch25/mixed-t2/arena2/rep3
B	burst-free-small	burst-free-small	C0	1	1	4		0	10490015.898	112	627	1464	1488	n/a	n/a	34076	ok	board_results/batch25/burst-free-small/C0/rep1
B	burst-free-small	burst-free-small	C0	2	1	4		0	10534439.088	112	613	1464	1492	n/a	n/a	35537	ok	board_results/batch25/burst-free-small/C0/rep2
