profile	grid	rep	attempt	exit_code	throughput_ops_per_s	p50	p99	measure_rss_kb_median	idle_rss_kb	temp_before	json_status	local_dir
large-transient	T-L4a	2	1	0	1378283.601	306	30113	114784	114820	37485	ok	board_results/batch2/large-transient/T-L4a/rep2
large-transient	T-L4a	3	1	0	1389958.941	313	28553	114636	114672	36024	ok	board_results/batch2/large-transient/T-L4a/rep3
large-transient	T-L4b	1	1	0	1321560.014	359	30006	115860	115896	36511	ok	board_results/batch2/large-transient/T-L4b/rep1
large-transient	T-L4b	2	1	0	1343888.556	350	30819	115040	115076	36998	ok	board_results/batch2/large-transient/T-L4b/rep2
large-transient	T-L4b	3	1	0	1313497.533	368	30162	114668	114704	36024	ok	board_results/batch2/large-transient/T-L4b/rep3
large-transient	T-L11	1	1	0	1394107.25	286	30543	115548	115584	36024	ok	board_results/batch2/large-transient/T-L11/rep1
large-transient	T-L11	2	1	0	1394628.44	286	29429	114280	114316	36511	ok	board_results/batch2/large-transient/T-L11/rep2
large-transient	T-L11	3	1	0	1396526.179	286	29608	114620	114656	37485	ok	board_results/batch2/large-transient/T-L11/rep3
large-transient	T-L12	1	1	0	1404586.119	289	28321	115452	115488	36998	ok	board_results/batch2/large-transient/T-L12/rep1
large-transient	T-L12	2	1	0	1369632.678	293	30583	114524	114560	36998	ok	board_results/batch2/large-transient/T-L12/rep2
large-transient	T-L12	3	1	0	1393383.12	297	29758	115240	115276	36511	ok	board_results/batch2/large-transient/T-L12/rep3
large-transient	T-L2	1	1	0	775583.103	339	35525	105156	105168	36998	ok	board_results/batch2/large-transient/T-L2/rep1
large-transient	T-L2	2	1	0	887203.429	422	35224	109444	109456	36024	ok	board_results/batch2/large-transient/T-L2/rep2
large-transient	T-L2	3	1	0	772146.974	325	34522	105404	105416	36024	ok	board_results/batch2/large-transient/T-L2/rep3
large-transient	T-B1	1	1	0	878079.625	433	33764	108640	108652	36511	ok	board_results/batch2/large-transient/T-B1/rep1
large-transient	T-B1	2	1	0	865374.231	435	36185	108248	108260	35537	ok	board_results/batch2/large-transient/T-B1/rep2
large-transient	T-B1	3	1	0	757602.411	328	36257	105532	105544	36511	ok	board_results/batch2/large-transient/T-B1/rep3
thread-churn	C0	1	1	0	1895411.318	251	1481	73784	73816	35537	ok	board_results/batch2/thread-churn/C0/rep1
thread-churn	C0	2	1	0	1889923.251	248	1487	73800	73832	36511	ok	board_results/batch2/thread-churn/C0/rep2
thread-churn	C0	3	1	0	1895265.335	249	1476	73684	73716	36024	ok	board_results/batch2/thread-churn/C0/rep3
thread-churn	T-L3	1	1	0	1888709.607	249	1485	73696	73728	37972	ok	board_results/batch2/thread-churn/T-L3/rep1
thread-churn	T-L3	2	1	0	1890974.241	251	1481	73388	73420	36998	ok	board_results/batch2/thread-churn/T-L3/rep2
thread-churn	T-L3	3	1	0	1894861.902	249	1474	73576	73608	36511	ok	board_results/batch2/thread-churn/T-L3/rep3
