sample	timestamp	epoch_ns	target	comm	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	total_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb	zram_orig_bytes	zram_compr_bytes	zram_mem_used_bytes
9	2026-08-13T23:19:25,754551462-0700	1786688365750009712	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3511	309	1058124	92816	90263552	20975318	27086848
9	2026-08-13T23:19:25,754551462-0700	1786688365750009712	ServiceD	ServiceD	1037	180	1740	3224	5144	18715	277	1058124	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	AppProcD	AppProcD	424	12592	18612	5140	36344	123249	500	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	AppProcB	AppProcB	896	6572	11780	6416	24768	109067	1366	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	cynara	cynara	205	1652	1032	212	2896	19999	842	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	AppProcA	AppProcA	2724	1212	3644	3732	8588	35534	79	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	systemd	systemd	1	1124	164	440	1728	27355	507	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3511	309	1058704	92816	90263552	20975318	27086848
10	2026-08-13T23:19:27,754760462-0700	1786688367749408878	ServiceD	ServiceD	1037	180	1740	3224	5144	18715	277	1058704	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	AppProcD	AppProcD	424	12592	18612	5140	36344	123249	500	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	AppProcB	AppProcB	896	6572	11780	6416	24768	109107	1366	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	cynara	cynara	205	1652	1032	212	2896	19999	842	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	AppProcA	AppProcA	2724	1212	3644	3732	8588	35535	79	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	systemd	systemd	1	1124	164	440	1728	27355	507	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3511	309	1058416	92816	90263552	20975318	27086848
11	2026-08-13T23:19:29,753050211-0700	1786688369748715628	ServiceD	ServiceD	1037	180	1740	3224	5144	18715	277	1058416	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	AppProcD	AppProcD	424	12592	18612	5140	36344	123249	500	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	AppProcB	AppProcB	896	6572	11780	6416	24768	109107	1366	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	cynara	cynara	205	1652	1032	212	2896	20148	842	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	AppProcA	AppProcA	2724	1212	3644	3732	8588	35555	79	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	systemd	systemd	1	1124	164	440	1728	27355	507	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3511	309	1058264	92816	90263552	20975318	27086848
12	2026-08-13T23:19:31,754811461-0700	1786688371747363961	ServiceD	ServiceD	1037	180	1740	3224	5144	18740	277	1058264	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	AppProcD	AppProcD	424	12592	18612	5140	36344	123301	500	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	AppProcB	AppProcB	896	6572	11780	6416	24768	109107	1366	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	cynara	cynara	205	1652	1032	212	2896	20148	842	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	AppProcA	AppProcA	2724	1212	3644	3732	8588	35556	79	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	systemd	systemd	1	1124	164	440	1728	27355	507	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	enlightenment	enlightenment	258	888	888	3036	4812	21489	495	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	buxton2d_worker	buxton2d_worker	229	836	28	440	1304	3512	309	1058200	92816	90263552	20975318	27086848
13	2026-08-13T23:19:33,753929877-0700	1786688373749474794	ServiceD	ServiceD	1037	180	1740	3224	5144	18740	277	1058200	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	AppProcD	AppProcD	424	12592	18612	5140	36344	123301	500	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	ServiceE	ServiceE	404	7804	2808	7800	18412	28183	352	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	AppProcB	AppProcB	896	6572	11780	6416	24768	109147	1366	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	ServiceH	ServiceH	2869	4100	4004	3040	11144	21917	2	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	cynara	cynara	205	1652	1032	212	2896	20148	842	1058220	92816	90263552	20975318	27086848
14	2026-08-13T23:19:35,755094960-0700	1786688375750516710	AppProcA	AppProcA	2724	1212	3644	3732	8588	35556	79	1058220	92816	90263552	20975318	27086848
