UID       PID PPID  C STIME TTY          TIME CMD
root        4    2  0 05:44 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root        1    0  0 05:44 ?        00:00:18 /usr/lib/systemd/systemd
root        2    0  0 05:44 ?        00:00:00 [kthreadd]
root        3    2  0 05:44 ?        00:00:00 [pool_workqueue_release]
root        4    2  0 05:44 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root        5    2  0 05:44 ?        00:00:00 [kworker/R-rcu_gp]
root        6    2  0 05:44 ?        00:00:00 [kworker/R-sync_wq]
root        7    2  0 05:44 ?        00:00:00 [kworker/R-slub_flushwq]
root        8    2  0 05:44 ?        00:00:00 [kworker/R-netns]
root       11    2  0 05:44 ?        00:00:00 [kworker/0:0H-events_highpri]
root       14    2  0 05:44 ?        00:00:00 [kworker/R-mm_percpu_wq]
root       15    2  0 05:44 ?        00:00:00 [rcu_tasks_kthread]
root       16    2  0 05:44 ?        00:00:00 [rcu_tasks_trace_kthread]
root       18    2  0 05:44 ?        00:00:11 [ksoftirqd/0]
root       19    2  0 05:44 ?        00:00:30 [rcu_preempt]
root       20    2  0 05:44 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root       21    2  0 05:44 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root       22    2  0 05:44 ?        00:00:51 [migration/0]
root       23    2  0 05:44 ?        00:00:00 [cpuhp/0]
root       24    2  0 05:44 ?        00:00:00 [cpuhp/1]
root       25    2  0 05:44 ?        00:00:31 [migration/1]
root       26    2  0 05:44 ?        00:00:06 [ksoftirqd/1]
root       28    2  0 05:44 ?        00:00:00 [kworker/1:0H-events_highpri]
root       30    2  0 05:44 ?        00:00:00 [cpuhp/2]
root       31    2  0 05:44 ?        00:00:27 [migration/2]
root       32    2  0 05:44 ?        00:02:27 [ksoftirqd/2]
root       34    2  0 05:44 ?        00:00:00 [kworker/2:0H-events_highpri]
root       36    2  0 05:44 ?        00:00:00 [cpuhp/3]
root       37    2  0 05:44 ?        00:00:21 [migration/3]
root       38    2  0 05:44 ?        00:04:11 [ksoftirqd/3]
root       40    2  0 05:44 ?        00:00:00 [kworker/3:0H-events_highpri]
root       46    2  0 05:44 ?        00:00:00 [kdevtmpfs]
root       47    2  0 05:44 ?        00:00:00 [kworker/R-inet_frag_wq]
root       48    2  0 05:44 ?        00:00:00 [kiomond]
root       49    2  0 05:44 ?        00:00:00 [kauditd]
root       50    2  0 05:44 ?        00:00:22 [printk]
root       52    2  0 05:44 ?        00:00:00 [oom_reaper]
root       53    2  0 05:44 ?        00:00:00 [kworker/R-writeback]
root       54    2  0 05:44 ?        00:00:00 [kcompactd0]
root       55    2  0 05:44 ?        00:00:19 [ksmd]
root       56    2  0 05:44 ?        00:00:00 [kworker/R-kblockd]
root       57    2  0 05:44 ?        00:00:00 [kworker/R-md]
root       58    2  0 05:44 ?        00:00:00 [kworker/R-md_bitmap]
root       59    2  0 05:44 ?        00:00:02 [kworker/u29:0-pmu_monitor_wq]
root       64    2  0 05:44 ?        00:00:00 [kworker/R-sdhci]
root       65    2  0 05:44 ?        00:00:00 [irq/35-mmc0]
root       66    2  0 05:44 ?        00:00:00 [kworker/R-nvt_clkgate_wq]
root       71    2  0 05:44 ?        00:00:00 [kworker/1:1H]
root       73    2  0 05:44 ?        00:00:00 [kdtvlogd]
root       74    2  0 05:44 ?        00:00:00 [kworker/R-trace_contention_worker
root       75    2  0 05:44 ?        00:00:00 [kworker/R-contention_store_wq]
root       76    2  0 05:44 ?        00:00:00 [kswapd0]
root       77    2  0 05:44 ?        00:00:00 [erofs_worker/0]
root       78    2  0 05:44 ?        00:00:00 [erofs_worker/1]
root       79    2  0 05:44 ?        00:00:00 [erofs_worker/2]
root       80    2  0 05:44 ?        00:00:00 [erofs_worker/3]
root       81    2  0 05:44 ?        00:00:00 [kworker/R-sim_watchdog]
root       82    2  0 05:44 ?        00:00:00 [kworker/R-kthrotld]
root       83    2  0 05:44 ?        00:00:04 [softirq_mon]
root       84    2  0 05:44 ?        00:00:00 [kworker/R-fd0f0c28.tsensor]
root       86    2  2 05:44 ?        00:20:53 [zram_bgrecompd]
root       87    2  0 05:44 ?        00:00:02 [memnotify]
root       88    2  0 05:44 ?        00:00:00 [kworker/R-Eth_readTrim]
root       89    2  0 05:44 ?        00:00:00 [kworker/R-Eth_plugDetect]
root       90    2  0 05:44 ?        00:00:00 [kworker/R-Eth_reset_mac]
root       91    2  0 05:44 ?        00:00:00 [rc0]
