UID       PID PPID  C STIME TTY          TIME CMD
root       92    2  0 05:44 ?        00:00:00 [rc1]
root       93    2  0 05:44 ?        00:00:00 [kworker/R-dm_bufio_cache]
root       94    2  0 05:44 ?        00:00:00 [kworker/R-mmc_complete]
root       97    2  0 05:44 ?        00:00:01 [mmc_trace_vlog]
root       98    2  0 05:44 ?        00:00:00 [kworker/2:1H]
root       99    2  0 05:44 ?        00:00:00 [kworker/R-mld]
root      100    2  0 05:44 ?        00:00:00 [kworker/R-ipv6_addrconf]
root      101    2  0 05:44 ?        00:00:01 [kworker/u24:1+dvb_core_wq]
root      102    2  0 05:44 ?        00:00:00 [kworker/R-vd_time_occupy_workqueu
root      104    2  0 05:44 ?        00:00:00 [kworker/0:1H]
root      108    2  0 05:44 ?        00:00:00 [kworker/3:1H]
root      192    2  0 05:44 ?        00:01:49 [vlog_task]
root      193    1  0 05:44 ?        00:00:01 /prd/usr/bin/kfactoryd
cynara    206    1  0 05:44 ?        00:00:26 /usr/bin/cynara
buxton    212    1  0 05:44 ?        00:00:05 /prd/usr/bin/buxton2d_lite -f
buxton    213    1  0 05:44 ?        00:00:30 /usr/sbin/buxton2d -f
root      243    1 17 05:44 ?        02:43:59 /usr/bin/enlightenment
root      249    1  0 05:44 ?        00:00:00 /usr/bin/fconfigd -d
root      252    2  0 05:44 ?        00:00:00 [menu]
root      253    1  0 05:44 ?        00:00:00 /bin/sh /usr/bin/launchpad-process
root      259    2  0 05:44 ?        00:00:00 [_NerveTask_]
root      261    2  0 05:44 ?        00:00:00 [_NerveMTask_]
root      262    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      263    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      264    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      266    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      267    2  0 05:44 ?        00:00:00 [_NVTAsyncTask_]
root      268    1  0 05:44 ?        00:01:25 /usr/apps/boot-helper-dyboost-tv/b
owner     280  253  0 05:44 ?        00:00:00 /usr/bin/ServiceJ
root      281    2  0 05:44 ?        00:02:00 [DRV_DBG_UART]
root      282    2  0 05:44 ?        00:00:00 [DRV_STBC_CALLBACK_TASK]
root      284    2  0 05:44 ?        00:00:01 [irq/49-ntkMsgBox]
root      287    2  0 05:44 ?        00:00:00 [MLBX_TEST_Thread]
root      294    2  0 05:44 ?        00:00:01 [tztv_mc_debug_print]
securit+  295    1  0 05:44 ?        00:00:00 /usr/bin/security-manager
root      303    2  0 05:44 ?        00:00:10 [kthread_watchdog]
root      306    2  0 20:47 ?        00:00:09 [kworker/u30:0-mali_jd]
root      331    2  0 05:44 ?        00:00:00 [kworker/R-free_pages_workq]
root      334    2  0 05:44 ?        00:04:13 [tzdev-tee-threads]
root      341    2  0 05:44 ?        00:00:00 [nsrpc:0]
root      345    2  0 05:44 ?        00:00:00 [nsrpc:1]
root      346    2  0 05:44 ?        00:00:00 [kworker/R-kbase_job_fault_resume_
root      347    2  0 05:44 ?        00:00:00 [nsrpc:2]
root      349    2  0 05:44 ?        00:00:00 [nsrpcwatchdog]
root      353    2  0 05:44 ?        00:00:01 [tzlogd]
root      354    2  0 05:44 ?        00:00:00 [teedrv_watch]
root      366    1  0 05:44 ?        00:00:00 /bin/bash /usr/bin/vd-pkginfo-serv
root      370    2  0 05:44 ?        00:00:00 [hdmi_vlog_thread]
root      372    2  0 20:49 ?        00:00:01 [kworker/2:2-events_freezable]
app_fw    373  366  0 05:44 ?        00:00:01 /usr/bin/pkginfo-server
root      380    2  0 05:44 ?        00:00:00 [HDCP22_PROC]
root      381    2  0 05:44 ?        00:00:00 [_MEM_HandleDmem]
root      388    2  0 05:44 ?        00:00:01 [dspMonitor]
root      389    2  0 05:44 ?        00:00:00 [HDMI_EvtThread]
root      395    2  0 05:44 ?        00:00:00 [_SPDIF_OclTrigger]
root      400    2  0 05:44 ?        00:00:00 [cube_event0]
root      401    2  0 05:44 ?        00:03:01 [DRV_VD]
root      409    2  0 05:44 ?        00:00:00 [cube_event1]
root      410    2  0 05:44 ?        00:00:00 [_APUTask_]
root      412    2  0 20:50 ?        00:00:00 [kworker/u33:1-kbase_pm_shader_pow
root      417    2  0 05:44 ?        00:00:23 [TSD_TASK]
root      418    2  0 05:44 ?        00:00:00 [DEMUX_TASK]
root      422    2  0 05:44 ?        00:00:00 [irq/82-frc_leon2_irq]
root      423    2  1 05:44 ?        00:13:48 [PQ_MPFW_TASK]
root      424    2  0 05:44 ?        00:00:55 [PQ_SHELL_DBG_TASK]
root      425    2  0 05:44 ?        00:00:00 [kworker/R-dvb_core_wq]
root      426    2  0 05:44 ?        00:00:00 [DEMUX_FEED_TASK]
root      427    2  0 05:44 ?        00:00:58 [ATSC30_CB_TASK]
root      428    2  0 05:44 ?        00:00:09 [KER_CI_timer]
root      432    2  0 05:44 ?        00:00:11 [kdvb-ca-0:0]
root      433    2  0 05:44 ?        00:01:41 [CHK5V_NDP_HDMI]
root      446    2  0 20:50 ?        00:00:00 [kworker/3:1R]
owner     449  280 40 05:44 ?        06:15:24 /opt/usr/apps/AppD/
owner     450  280  0 05:44 ?        00:06:35 /usr/bin/ServiceE     0         
root      478    2  0 05:44 ?        00:00:01 [CLK_DET_NDP_HDMI]
root      479    2  0 05:44 ?        00:00:37 [DRV_TVADC]
root      480    2  0 05:44 ?        00:04:02 [SCLR_DP0]
root      481    2  0 05:44 ?        00:00:00 [kworker/u24:2-ipv6_addrconf]
root      483    2  0 05:44 ?        00:00:26 [VRR_ST_NDP_HDMI]
root      486    2  0 05:44 ?        00:00:28 [_VPL_SRC_KADC]
root      487    2  0 05:44 ?        00:00:44 [SCLR_IP0]
root      489    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale0]
root      491    2  0 05:44 ?        00:00:34 [SCLR_IP1]
root      493    2  0 05:44 ?        00:00:39 [SRC_ModeTask]
root      494    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale1]
root      495    2  0 05:44 ?        00:01:36 [DRV_VBI]
root      496    2  0 05:44 ?        00:01:26 [VPL_SCLR_CTRL_MONITOR]
root      497    2  0 05:44 ?        00:00:27 [SRC_MonitorTask]
root      499    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale2]
root      500    2  0 05:44 ?        00:00:00 [VPL_SRC_MODE_EVENT_TASK]
root      501    2  0 05:44 ?        00:00:00 [card0-crtc0]
root      502    2  0 05:44 ?        00:00:00 [PLAT_VC_UPDATE_TASK]
root      503    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale3]
root      504    2  0 05:44 ?        00:00:00 [card0-crtc1]
root      506    2  0 05:44 ?        00:00:12 [eArcTask]
root      507    2  0 05:44 ?        00:00:00 [PLAT_VC_UPDATE_TASK]
root      508    2  0 05:44 ?        00:00:00 [SCLR_SHL_Scale4]
root      509    2  0 05:44 ?        00:00:59 [SCLR_SHL_Bio]
root      557    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root      578    2  0 20:53 ?        00:00:04 [kworker/u30:1-mali_jd]
owner     583  576  0 05:44 ?        00:00:00 /usr/bin/zone-init
root      588    2  0 05:44 ?        00:00:00 [kworker/R-cfg80211]
owner     591  280  0 05:44 ?        00:00:31 /usr/apps/AppY/bin/
root      607    2  0 20:54 ?        00:00:00 [kworker/u31:0-kbase_pm_shader_pow
root      617    2  0 20:54 ?        00:00:00 [kworker/2:0-events_freezable]
root      626    2  0 20:54 ?        00:00:00 [kworker/1:2-cgroup_free]
root      631    2  0 20:54 ?        00:00:00 [kworker/2:1R]
root      633    2  0 20:54 ?        00:00:00 [kworker/0:1R]
root      634    2  0 16:38 ?        00:00:04 [kworker/3:1-rcu_gp]
owner     638    1  0 05:44 ?        00:00:00 /usr/bin/resource-center
root      639    1  0 05:44 ?        00:00:01 /usr/bin/rscmgr-service
root      641    1  0 05:44 ?        00:00:04 /usr/bin/tvs-lite
app_fw    647    1  0 05:44 ?        00:00:06 /usr/bin/ServiceV
root      657    1  0 05:44 ?        00:07:30 /usr/bin/ServiceC
owner     658    1  0 05:44 ?        00:01:58 /opt/usr/apps/com.samsung.tv.pisa-
root      659    2  0 05:44 ?        00:00:00 [kworker/u29:1-nvt_clkgate_wq]
root      666    2  0 20:54 ?        00:00:00 [kworker/u25:2-dput_wq]
root      669    2  0 20:54 ?        00:00:00 [kworker/u28:3-events_unbound]
root      678    1  0 05:44 ?        00:00:03 /usr/bin/tvctx-manager /etc/tvctx-
root      683    1  0 05:44 ?        00:00:25 /usr/bin/bt-service
owner     684    1  0 05:44 ?        00:00:16 /opt/usr/apps/com.samsung.tv.slive
owner     692  280  0 05:44 ?        00:00:25 /usr/apps/org.tizen.volume-app/bin
root      694    1  4 05:44 ?        00:41:54 /usr/bin/avocd -d
owner     769    1  0 05:44 ?        00:01:22 /usr/bin/common-daemon-basic-monit
owner     771    1  0 05:44 ?        00:00:09 /usr/bin/connectivity-common-daemo
owner     782  280  0 05:44 ?        00:00:00 /usr/bin/app-defined-loader     0 
owner     783  280  0 05:44 ?        00:00:02 /usr/bin/launchpad-loader     0   
owner     785  280  0 05:44 ?        00:01:21 /usr/apps/AppS/bin/org.t
root      805    2  0 20:56 ?        00:00:00 [kworker/u26:3-events_unbound]
root      818    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root      883    2  0 20:57 ?        00:00:00 [kworker/u32:0-kbase_pm_shader_pow
root      947    1  0 05:44 ?        00:00:18 /usr/sbin/connmand --nodnsproxy --
root      948    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root      976    2  0 20:57 ?        00:00:00 [kworker/3:2-events]
root      980    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root     1015    1  0 05:44 ?        00:06:40 /usr/bin/deviced
owner    1016  280  0 05:44 ?        00:07:34 /opt/usr/apps/com.samsung.tv.home.
root     1026    2  0 20:58 ?        00:00:04 [kworker/u30:2-kbase_pm_poweroff_w
root     1028    1  0 05:44 ?        00:00:26 /usr/sbin/launcher-security
root     1041    1  0 05:44 ?        00:00:16 /usr/sbin/net-config
root     1046    1  0 05:44 ?        00:00:02 /usr/bin/TIFSDaemon
root     1049    1  0 05:44 ?        00:02:44 /usr/bin/ServiceO
root     1050    1  0 05:44 ?        00:00:15 /usr/bin/tzdaemon
owner    1051    1  0 05:44 ?        00:05:45 /opt/usr/apps/com.samsung.tv.slive
owner    1053    1  0 05:44 ?        00:00:00 /usr/bin/speaker-manager
app_fw   1060    1  0 05:44 ?        00:00:16 /usr/bin/tizen-watcherd
root     1068    1  0 05:44 ?        00:00:37 /usr/sbin/vd-net-config
root     1070    1  0 05:44 ?        00:00:00 /usr/sbin/wpa_supplicant -u -t -dd
root     1093    2  0 20:59 ?        00:00:00 [kworker/2:1-trace_contention_work
root     1112    2  0 21:00 ?        00:00:00 [kworker/u27:2-events_unbound]
root     1114    1  0 05:44 ?        00:00:10 /bin/bash /usr/bin/pm_monitor.sh 3
root     1159    2  0 21:01 ?        00:00:00 [kworker/0:0-cgroup_free]
root     1203    2  0 21:02 ?        00:00:00 [kworker/u31:1-kbase_pm_shader_pow
root     1207    1  0 05:44 ?        00:00:00 /usr/lib/systemd/systemd-udevd --r
root     1208    1  0 05:44 ?        00:00:00 /usr/bin/TAgentD
owner    1211    1  0 05:44 ?        00:00:06 /usr/bin/securestorage-server
root     1212    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
owner    1213    1  0 05:44 ?        00:00:08 /usr/bin/psa-init
owner    1230  280  0 05:44 ?        00:00:14 /usr/apps/com.samsung.tv.home-serv
root     1232    2  0 21:02 ?        00:00:00 [kworker/2:3-events_freezable]
owner    1252  280  0 05:44 ?        00:00:54 /opt/usr/apps/org.tizen.ssoservice
root     1271    2  0 21:03 ?        00:00:00 [kworker/u26:0-events_unbound]
root     1295    2  0 05:44 ?        00:00:00 [kworker/R-kbase_event]
root     1320    2  0 21:04 ?        00:00:00 [kworker/1:1]
root     1323    2  0 21:04 ?        00:00:00 [kworker/0:2R]
root     1324    2  0 21:04 ?        00:00:00 [kworker/1:2R-mmc_complete]
owner    1335    1  0 05:44 ?        00:00:00 /usr/lib/systemd/systemd --user
root     1343    1  0 05:44 ?        00:00:00 /usr/bin/wfd-manager
owner    1355    1  0 05:44 ?        00:00:02 /usr/bin/p2p-asm
pulse    1370    1  0 05:44 ?        00:00:05 /usr/bin/pulseaudio
root     1375    2  0 21:05 ?        00:00:00 [kworker/3:0]
root     1416    2  0 21:06 ?        00:00:00 [kworker/u26:1-events_unbound]
root     1425    2  0 21:06 ?        00:00:00 [kworker/u28:0-events_unbound]
app_fw   1442    1  0 05:44 ?        00:00:05 /usr/bin/esd
root     1466    2  0 05:44 ?        00:00:10 [smdl_daemon]
root     1475    2  0 21:06 ?        00:00:00 [kworker/u28:1-events_unbound]
root     1479    1  0 05:44 ?        00:00:00 /usr/bin/eventd
securit+ 1483    1  0 05:44 ?        00:00:00 /usr/bin/license-manager-agent
root     1487    1  0 05:44 ?        00:02:18 /usr/bin/ServiceN
owner    1488    1  0 05:44 ?        00:00:00 /usr/bin/isf
root     1508    2  0 21:06 ?        00:00:00 [kworker/u25:0-events_unbound]
root     1537 1114  0 21:06 ?        00:00:00 sleep 5
root     1546    2  0 21:06 ?        00:00:00 [kworker/u27:3-events_unbound]
owner    1563    1  0 05:44 ?        00:00:02 /usr/bin/allshare-svc
owner    1578    1  0 05:44 ?        00:00:06 /usr/bin/app-control-service
sdk      1589    1  0 07:40 ?        00:00:33 /usr/sbin/sdbd
root     1604    1  0 05:44 ?        00:00:33 /usr/bin/bt-monitor
root     1612    1 33 21:06 pts/0    00:00:00 /bin/sh -c LC_ALL=C ps -ef;r=$?;ec
root     1613 1612 99 21:06 pts/0    00:00:00 ps -ef
owner    1616  280  0 05:44 ?        00:00:20 /opt/usr/apps/com.samsung.tv.conte
owner    1654    1  0 05:44 ?        00:00:02 /usr/bin/contents-recognition-serv
root     1669    1  1 05:44 ?        00:09:26 /bin/issue_report_agent
owner    1672    1  0 05:44 ?        00:00:00 /usr/bin/aisctrlmgr_server -s org.
owner    1715  280  0 05:44 ?        00:00:17 /opt/usr/apps/com.samsung.tv.ghdae
owner    1727    1  0 05:44 ?        00:00:01 /opt/usr/apps/org.tizen.dseal/bin/
owner    1754    1  0 05:44 ?        00:00:00 /usr/bin/register-device
owner    1757    1  0 05:44 ?        00:00:03 /usr/bin/ServiceP
owner    1759    1  6 05:44 ?        00:56:48 /usr/bin/source-service
root     1760    1  0 05:44 ttyS0    00:00:00 /usr/bin/vddebugmenu
root     1761    1  0 05:44 ?        00:00:00 /usr/bin/was_background_update
root     1826    2  0 05:44 ?        00:00:00 [ecryptfs-kthread]
root     1945    2  0 09:18 ?        00:00:00 [kworker/R-kbase_event]
root     1959    2  0 09:18 ?        00:00:00 [kworker/R-kbase_event]
owner    1975  280  0 09:18 ?        00:00:02 /usr/bin/ServiceH     0      
owner    2031    1  0 05:44 ?        00:00:01 /opt/usr/apps/com.samsung.tv.conte
root     2101    2  0 19:48 ?        00:00:00 [kworker/2:2R-kblockd]
root     2224    2  0 17:06 ?        00:00:05 [kworker/0:1-rcu_gp]
key-man+ 2247    1  0 05:44 ?        00:00:01 /usr/bin/ServiceS
owner    2307    1  0 05:44 ?        00:00:00 /usr/bin/aifw-data-managerd
root     2311    2  0 19:54 ?        00:00:00 [kworker/0:0R-kblockd]
owner    2345  280  0 05:44 ?        00:00:14 /usr/apps/com.samsung.tv.cis-api-s
owner    2397    1  0 05:44 ?        00:00:00 /usr/bin/sesd
owner    2398  280  0 05:44 ?        00:00:54 /opt/usr/apps/org.tizen.easysetup-
owner    2416    1  0 05:44 ?        00:00:02 /opt/usr/apps/com.samsung.tv.pisa-
owner    2423  280  0 05:44 ?        00:01:35 /opt/usr/apps/com.samsung.tizen.sm
service+ 2426    1  0 05:44 ?        00:00:01 /usr/bin/pushd
root     2494    1  0 05:44 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener]
owner    2497    1  0 05:44 ?        00:00:00 /usr/sbin/user-presence
owner    2523    1  0 05:44 ?        00:06:37 /usr/bin/fw-update-service
root     2612    2  0 20:01 ?        00:00:01 [kworker/1:0-rcu_gp]
root     2630    2  0 05:45 ?        00:00:00 [kworker/R-kbase_event]
root     2668    1  0 05:45 ?        00:00:43 /usr/bin/ServiceR
owner    2686  280 28 05:45 ?        04:18:18 /usr/apps/com.samsung.tv.glscreens
owner    2749    1  0 05:45 ?        00:00:00 /usr/apps/global-notif-service/bin
owner    2750    1  0 05:45 ?        00:00:04 /usr/apps/org.tizen.webappservice/
owner    2751    1  0 05:45 ?        00:00:04 /usr/apps/org.tizen.webserver/bin/
owner    2752    1  0 05:45 ?        00:00:02 /usr/apps/pvod-appfw/bin/pvodservi
owner    2754    1  0 05:45 ?        00:00:02 /usr/bin/remote-server
owner    2756    1  0 05:45 ?        00:00:11 /usr/bin/msf-server
root     2984    2  0 20:10 ?        00:00:00 [kworker/u27:1-dput_wq]
root     2993 1760  0 05:45 ttyS0    00:00:00 sh
root     3096    2  0 20:14 ?        00:00:00 [kworker/u28:2-events_unbound]
root     3272    2  0 20:20 ?        00:00:01 [kworker/u33:0-kbase_pm_shader_pow
root     3296    2  0 20:21 ?        00:00:00 [kworker/u25:3-fd0f0c28.tsensor]
root     3375    2  0 20:23 ?        00:00:00 [kworker/u32:1-kbase_pm_shader_pow
root     3401    2  0 20:24 ?        00:00:00 [kworker/3:0R-kblockd]
root     3459    2  0 20:26 ?        00:00:16 [kworker/u30:3-mali_jd]
root     3589    2  0 20:30 ?        00:00:00 [kworker/1:0R-mmc_complete]
root     3590    2  0 20:30 ?        00:00:00 [kworker/u26:2-events_unbound]
root     3609    2  0 20:31 ?        00:00:00 [kworker/u24:0-Eth_plugDetect]
owner    3727    1  0 05:47 ?        00:00:04 /usr/bin/SWUAutoUpgrade
root     3776    2  0 20:36 ?        00:00:00 [kworker/1:1R-mmc_complete]
root     3862    2  0 05:48 ?        00:00:00 [psimon]
root     3916    2  0 20:41 ?        00:00:00 [kworker/u27:0-events_unbound]
root     4033    2  0 20:45 ?        00:00:00 [kworker/0:2-cgroup_release]
root     4040    2  0 20:45 ?        00:00:00 [kworker/u31:2-kbase_pm_shader_pow

RC=0
DONE
