MemTotal:        8117408 kB
MemFree:         6838996 kB
MemAvailable:    6933700 kB
Buffers:           22672 kB
Cached:           752392 kB
SwapCached:            0 kB
Active:           195360 kB
Inactive:         124624 kB
Active(anon):     113668 kB
Inactive(anon):    50516 kB
Active(file):      81692 kB
Inactive(file):    74108 kB
Unevictable:      615708 kB
Mlocked:              12 kB
HighTotal:       7458816 kB
HighFree:        6505584 kB
LowTotal:         658592 kB
LowFree:          333412 kB
SwapTotal:       3246960 kB
SwapFree:        3246960 kB
Dirty:               244 kB
Writeback:             0 kB
AnonPages:        160664 kB
Mapped:            20768 kB
Shmem:            619264 kB
KReclaimable:      11784 kB
Slab:              53592 kB
SReclaimable:      11784 kB
SUnreclaim:        41808 kB
KernelStack:        3504 kB
PageTables:         6428 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     7305664 kB
Committed_AS:    3114644 kB
VmallocTotal:     245760 kB
VmallocUsed:       26536 kB
VmallocChunk:          0 kB
Percpu:             1120 kB
CmaTotal:         327680 kB
CmaFree:           90864 kB

RC=0
DONE
