sample	stage	timestamp	epoch_ns	target	comm	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	total_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb	zram_orig_bytes	zram_compr_bytes	zram_mem_used_bytes
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	AppProcD	AppProcD	543	30008	39036	6600	75644	340561	582	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	AppProcC	AppProcC	2671	15348	16576	4560	36484	101431	40	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	AppProcB	AppProcB	945	10540	13152	5636	29328	115852	1955	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceA	ServiceA	3953	2932	4048	2656	9636	345052	164	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceD	ServiceD	953	9512	6720	3364	19596	77246	707	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceE	ServiceE	545	8772	2120	7800	18692	28171	342	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceL	ServiceL	579	6436	2196	1640	10272	25756	1167	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceH[ServiceK]	ServiceH	3740	11544	27356	4308	43208	72389	102	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceB	ServiceB	692	3548	4648	2168	10364	21541	337	818312	93312	92061696	24778111	32534528
0	P0	2026-08-14T00:21:22,788354995-0700	1786692082782855245	ServiceC	ServiceC	676	3932	8604	1540	14076	114711	964	818312	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	AppProcD	AppProcD	543	30008	39036	6600	75644	340561	582	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	AppProcC	AppProcC	2671	15348	16576	4560	36484	101431	40	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	AppProcB	AppProcB	945	10540	13152	5636	29328	115852	1955	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceA	ServiceA	3953	2932	4048	2656	9636	345052	164	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceD	ServiceD	953	9512	6720	3364	19596	77246	707	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceE	ServiceE	545	8772	2120	7800	18692	28171	342	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceL	ServiceL	579	6436	2196	1640	10272	25758	1167	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceH[ServiceK]	ServiceH	3740	11544	27356	4308	43208	72428	102	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceB	ServiceB	692	3548	4648	2168	10364	21541	337	815832	93312	92061696	24778111	32534528
1	P0	2026-08-14T00:21:24,778561745-0700	1786692084773912245	ServiceC	ServiceC	676	3932	8604	1540	14076	114711	964	815832	93312	92061696	24778111	32534528
2	P0	2026-08-14T00:21:26,778386661-0700	1786692086770094827	AppProcD	AppProcD	543	30036	39024	6600	75660	340568	582	815852	93312	92061696	24778111	32534528
2	P0	2026-08-14T00:21:26,778386661-0700	1786692086770094827	AppProcC	AppProcC	2671	15348	16576	4560	36484	101432	40	815852	93312	92061696	24778111	32534528
2	P0	2026-08-14T00:21:26,778386661-0700	1786692086770094827	AppProcB	AppProcB	945	10540	13152	5636	29328	115892	1955	815852	93312	92061696	24778111	32534528
2	P0	2026-08-14T00:21:26,778386661-0700	1786692086770094827	ServiceA	ServiceA	3953	2932	4048	2656	9636	345052	164	815852	93312	92061696	24778111	32534528
2	P0	2026-08-14T00:21:26,778386661-0700	1786692086770094827	ServiceD	ServiceD	953	9512	6720	3364	19596	77249	707	815852	93312	92061696	24778111	32534528
2	P0	2026-08-14T00:21:26,778386661-0700	1786692086770094827	ServiceE	ServiceE	545	8772	2120	7800	18692	28171	342	815852	93312	92061696	24778111	32534528
