round	sequence	target_offset_s	actual_timestamp	actual_epoch_ns	key	key_name	vk_exit	lateness_ms
R1	1	90	2026-08-14T00:22:52,795052640-0700	1786692172788084474	73	KEY_CH_LIST	1	35.359
R1	2	93	2026-08-14T00:22:56,775977223-0700	1786692176742429139	116	KEY_DOWN	1	989.704
R1	3	94	2026-08-14T00:22:57,208642889-0700	1786692177152978056	116	KEY_DOWN	1	400.253
R1	4	95	2026-08-14T00:22:57,991187972-0700	1786692177878584306	116	KEY_DOWN	1	125.859
R1	5	96	2026-08-14T00:22:59,949963722-0700	1786692179887655722	182	KEY_EXIT	1	1134.931
R1	6	99	2026-08-14T00:23:01,976594221-0700	1786692181941154888	96	KEY_CHUP	1	188.430
R1	7	103	2026-08-14T00:23:06,076215220-0700	1786692185922524220	96	KEY_CHUP	1	169.799
R1	8	107	2026-08-14T00:23:09,991684886-0700	1786692189974268969	95	KEY_CHDOWN	1	221.544
R1	9	111	2026-08-14T00:23:14,000909302-0700	1786692193989739385	95	KEY_CHDOWN	1	237.014
R1	10	115	2026-08-14T00:23:17,804493468-0700	1786692197798720884	138	KEY_GUIDE	1	45.996
R1	11	119	2026-08-14T00:23:22,090121633-0700	1786692202070363633	182	KEY_EXIT	1	317.639
R2	1	150	2026-08-14T00:23:52,777806376-0700	1786692232771417293	73	KEY_CH_LIST	1	18.692
R2	2	153	2026-08-14T00:23:56,157203792-0700	1786692236126807292	116	KEY_DOWN	1	374.082
R2	3	154	2026-08-14T00:23:57,312511542-0700	1786692237305555625	116	KEY_DOWN	1	552.831
R2	4	155	2026-08-14T00:23:57,796165625-0700	1786692237777600458	116	KEY_DOWN	1	24.876
R2	5	156	2026-08-14T00:23:59,162325041-0700	1786692239011508874	182	KEY_EXIT	1	258.784
R2	6	159	2026-08-14T00:24:02,226567707-0700	1786692242195839457	96	KEY_CHUP	1	443.114
R2	7	163	2026-08-14T00:24:06,825669873-0700	1786692246361596789	96	KEY_CHUP	1	608.872
