target	stage	samples	pid_set	glibc_start_kb	glibc_peak_kb	glibc_end_kb	other_start_kb	other_peak_kb	other_end_kb	file_start_kb	file_peak_kb	file_end_kb
ServiceL	R4	30	579	6436	6448	6436	2204	2204	2200	1640	1640	1640
ServiceL	R5	30	579	6436	6468	6444	2200	2200	2200	1640	1640	1640
ServiceL	P1	60	579	6444	6444	6400	2200	2204	2200	1640	1640	1640
ServiceL	R6	30	579	6400	6428	6408	2204	2204	2200	1640	1640	1640
ServiceL	P2	90	579	6408	6408	6392	2200	2200	2200	1640	1640	1640
ServiceH[ServiceK]	P0	45	3740	11544	11544	11240	27356	27356	25216	4308	4308	4308
ServiceH[ServiceK]	R1	30	3740	11964	12776	12448	25464	25608	25604	4308	4324	4324
ServiceH[ServiceK]	R2	30	3740	12980	13020	12228	25804	25808	25652	4324	4324	4324
ServiceH[ServiceK]	R3	30	3740	12776	13180	12864	25556	25784	25784	4324	4324	4324
ServiceH[ServiceK]	R4	30	3740	13368	13376	12768	25592	25644	25644	4324	4324	4324
ServiceH[ServiceK]	R5	30	3740	12980	13380	13084	25500	26160	26124	4324	4324	4324
ServiceH[ServiceK]	P1	60	3740	13084	13084	13080	26124	26124	26044	4324	4324	4324
ServiceH[ServiceK]	R6	30	3740	13600	13600	13160	24980	25628	25584	4324	4324	4324
ServiceH[ServiceK]	P2	90	3740	13160	13160	13104	25584	25584	25556	4324	4324	4324
ServiceB	P0	45	692	3548	3548	3508	4648	4648	4628	2168	2168	2168
ServiceB	R1	30	692	4352	4680	4576	4608	4608	4440	2168	2176	2176
ServiceB	R2	30	692	4488	4928	4868	4392	4476	4476	2176	2176	2176
ServiceB	R3	30	692	4732	4732	3932	4404	4440	4148	2176	2176	2176
ServiceB	R4	30	692	4276	4276	4012	4160	4332	4328	2176	2176	2176
ServiceB	R5	30	692	4316	4824	4260	4296	4448	4428	2176	2176	2176
ServiceB	P1	60	692	4260	4260	4080	4428	4428	4428	2176	2176	2176
ServiceB	R6	30	692	4108	4172	3944	4388	4488	4480	2176	2176	2176
ServiceB	P2	90	692	3944	3944	3888	4480	4480	4404	2176	2176	2176
ServiceC	P0	45	676	3932	3932	3932	8604	8604	8604	1540	1540	1540
ServiceC	R1	30	676	3936	3944	3944	8588	8588	8568	1540	1540	1540
ServiceC	R2	30	676	3956	3956	3948	8588	8588	8564	1540	1540	1540
ServiceC	R3	30	676	3948	3952	3952	8612	8612	8568	1540	1540	1540
ServiceC	R4	30	676	3952	3960	3960	8580	8580	8580	1540	1540	1540
ServiceC	R5	30	676	3960	4012	3968	8624	8624	8580	1540	1540	1540
ServiceC	P1	60	676	3968	3968	3968	8580	8580	8580	1540	1540	1540
ServiceC	R6	30	676	3972	3976	3976	8624	8624	8584	1540	1540	1540
ServiceC	P2	90	676	3976	3976	3976	8584	8584	8584	1540	1540	1540
