sample	stage	timestamp	epoch_ns	target	comm	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	total_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb	zram_orig_bytes	zram_compr_bytes	zram_mem_used_bytes
5	P0	2026-08-14T01:55:53,012769476-0700	1786697753007365726	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780456	92940	88961024	23939502	32374784
6	P0	2026-08-14T01:55:54,017928726-0700	1786697754008327143	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	781476	92940	88961024	23939502	32374784
6	P0	2026-08-14T01:55:54,017928726-0700	1786697754008327143	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	781476	92940	88961024	23939502	32374784
6	P0	2026-08-14T01:55:54,017928726-0700	1786697754008327143	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150655	103	781476	92940	88961024	23939502	32374784
6	P0	2026-08-14T01:55:54,017928726-0700	1786697754008327143	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	781476	92940	88961024	23939502	32374784
7	P0	2026-08-14T01:55:55,025293309-0700	1786697755018745476	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	780472	92940	88961024	23939502	32374784
7	P0	2026-08-14T01:55:55,025293309-0700	1786697755018745476	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	780472	92940	88961024	23939502	32374784
7	P0	2026-08-14T01:55:55,025293309-0700	1786697755018745476	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150655	103	780472	92940	88961024	23939502	32374784
7	P0	2026-08-14T01:55:55,025293309-0700	1786697755018745476	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	780472	92940	88961024	23939502	32374784
8	P0	2026-08-14T01:55:56,009228809-0700	1786697756003119059	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779900	92940	88961024	23939502	32374784
8	P0	2026-08-14T01:55:56,009228809-0700	1786697756003119059	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	779900	92940	88961024	23939502	32374784
8	P0	2026-08-14T01:55:56,009228809-0700	1786697756003119059	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150697	103	779900	92940	88961024	23939502	32374784
8	P0	2026-08-14T01:55:56,009228809-0700	1786697756003119059	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779900	92940	88961024	23939502	32374784
9	P0	2026-08-14T01:55:57,010309642-0700	1786697757005082226	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779288	92940	88961024	23939502	32374784
9	P0	2026-08-14T01:55:57,010309642-0700	1786697757005082226	ServiceB	ServiceB	692	3940	4444	2176	10560	32259	414	779288	92940	88961024	23939502	32374784
9	P0	2026-08-14T01:55:57,010309642-0700	1786697757005082226	ChannelLoader	ServiceH	3740	13252	25724	4324	43300	150697	103	779288	92940	88961024	23939502	32374784
9	P0	2026-08-14T01:55:57,010309642-0700	1786697757005082226	WebRuntime	ServiceE	545	8772	2120	7800	18692	28406	342	779288	92940	88961024	23939502	32374784
10	P0	2026-08-14T01:55:58,017861059-0700	1786697758009298225	ServiceA	ServiceA	3953	3464	4300	2656	10420	415778	167	779952	92940	88961024	23939502	32374784
