round	sequence	actual_elapsed_s	actual_timestamp	key	key_name	vk_exit	lateness_ms
R5	11	329.710984	2026-08-14T02:01:17,716603149-0700	182	KEY_EXIT	1	710.984
R6	1	360.046734	2026-08-14T02:01:48,047683225-0700	73	KEY_CH_LIST	1	46.734
R6	2	363.341275	2026-08-14T02:01:51,476182391-0700	116	KEY_DOWN	1	341.276
R6	3	364.190629	2026-08-14T02:01:52,185538808-0700	116	KEY_DOWN	1	190.629
R6	4	365.405392	2026-08-14T02:01:53,433153474-0700	116	KEY_DOWN	1	405.392
R6	5	367.242877	2026-08-14T02:01:55,318840973-0700	182	KEY_EXIT	1	1242.877
R6	6	369.110570	2026-08-14T02:01:57,147404806-0700	96	KEY_CHUP	1	110.570
R6	7	373.160047	2026-08-14T02:02:01,194782389-0700	96	KEY_CHUP	1	160.047
R6	8	377.158712	2026-08-14T02:02:05,179179054-0700	95	KEY_CHDOWN	1	158.712
R6	9	381.163903	2026-08-14T02:02:09,167744970-0700	95	KEY_CHDOWN	1	163.903
R6	10	385.177230	2026-08-14T02:02:13,178663886-0700	138	KEY_GUIDE	1	177.230
R6	11	389.062931	2026-08-14T02:02:17,073191968-0700	182	KEY_EXIT	1	62.931
R7	1	420.024522	2026-08-14T02:02:48,020636878-0700	73	KEY_CH_LIST	1	24.522
R7	2	423.396584	2026-08-14T02:02:51,497653460-0700	116	KEY_DOWN	1	396.584
R7	3	424.277240	2026-08-14T02:02:52,270240293-0700	116	KEY_DOWN	1	277.240
R7	4	425.346900	2026-08-14T02:02:53,368471710-0700	116	KEY_DOWN	1	346.900
R7	5	426.626150	2026-08-14T02:02:54,694970959-0700	182	KEY_EXIT	1	626.150
R7	6	429.538485	2026-08-14T02:02:57,617491709-0700	96	KEY_CHUP	1	538.485
R7	7	433.167518	2026-08-14T02:03:01,205162041-0700	96	KEY_CHUP	1	167.518
R7	8	437.125751	2026-08-14T02:03:05,180681790-0700	95	KEY_CHDOWN	1	125.751
R7	9	441.096401	2026-08-14T02:03:09,131192289-0700	95	KEY_CHDOWN	1	96.401
R7	10	445.084564	2026-08-14T02:03:13,126690872-0700	138	KEY_GUIDE	1	84.564
R7	11	449.209834	2026-08-14T02:03:17,211168204-0700	182	KEY_EXIT	1	209.834
R8	1	480.046417	2026-08-14T02:03:48,046428863-0700	73	KEY_CH_LIST	1	46.417
R8	2	483.061517	2026-08-14T02:03:51,056670529-0700	116	KEY_DOWN	1	61.517
R8	3	484.220318	2026-08-14T02:03:52,221931696-0700	116	KEY_DOWN	1	220.318
R8	4	485.679728	2026-08-14T02:03:53,751092695-0700	116	KEY_DOWN	1	679.728
R8	5	487.056292	2026-08-14T02:03:55,077049862-0700	182	KEY_EXIT	1	1056.293
R8	6	489.290980	2026-08-14T02:03:57,362485278-0700	96	KEY_CHUP	1	290.980
R8	7	493.081469	2026-08-14T02:04:01,141610360-0700	96	KEY_CHUP	1	81.469
R8	8	497.147381	2026-08-14T02:04:05,151450859-0700	95	KEY_CHDOWN	1	147.381
R8	9	501.143999	2026-08-14T02:04:09,173553442-0700	95	KEY_CHDOWN	1	143.999
R8	10	505.061340	2026-08-14T02:04:13,055111024-0700	138	KEY_GUIDE	1	61.340
R8	11	509.578399	2026-08-14T02:04:17,580013356-0700	182	KEY_EXIT	1	578.399
