sample	actual_stage	timestamp	actual_elapsed_s	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb
51	P0	2026-08-14T01:56:39,008034882-0700	51.018092	3953	3464	4300	2656	415778	167	778496	92940
52	P0	2026-08-14T01:56:40,019998049-0700	52.023933	3953	3464	4300	2656	415778	167	778996	92940
53	P0	2026-08-14T01:56:41,008603632-0700	53.017564	3953	3464	4300	2656	415778	167	779432	92940
54	P0	2026-08-14T01:56:42,010721465-0700	54.017846	3953	3464	4300	2656	415778	167	779452	92940
55	P0	2026-08-14T01:56:43,009613381-0700	55.019662	3953	3464	4300	2656	415778	167	779064	92940
56	P0	2026-08-14T01:56:44,008844964-0700	56.016647	3953	3464	4300	2656	415778	167	780032	92940
57	P0	2026-08-14T01:56:45,010156297-0700	57.020159	3953	3464	4300	2656	415778	167	779292	92940
58	P0	2026-08-14T01:56:46,015488214-0700	58.025654	3953	3464	4300	2656	415778	167	779524	92940
59	P0	2026-08-14T01:56:47,013745130-0700	59.022708	3953	3464	4300	2656	415778	167	779060	92940
60	R1	2026-08-14T01:56:48,017055463-0700	60.027400	3953	3452	4300	2656	415778	167	779292	92940
61	R1	2026-08-14T01:56:49,403182963-0700	61.408124	3953	4336	4364	2656	415817	167	775676	92940
62	R1	2026-08-14T01:56:50,942794296-0700	62.931512	3953	6192	6720	2684	416804	167	773200	92940
63	R1	2026-08-14T01:56:54,334992462-0700	66.240952	3953	13272	6552	2684	426430	167	755688	92940
64	R1	2026-08-14T01:56:59,671004044-0700	71.670518	3953	3512	4460	2656	427309	167	780988	92940
65	R1	2026-08-14T01:57:01,657578710-0700	73.662744	3953	3512	4460	2656	427309	167	781584	92940
66	R1	2026-08-14T01:57:03,581614460-0700	75.567187	3953	3512	4460	2656	427309	167	781932	92940
67	R1	2026-08-14T01:57:05,476086543-0700	77.470534	3953	3512	4460	2656	427309	167	783652	92940
68	R1	2026-08-14T01:57:07,592622625-0700	79.585609	3953	3512	4460	2656	427309	167	783092	92940
69	R1	2026-08-14T01:57:09,782742625-0700	81.776228	3953	3512	4460	2656	427309	167	783280	92940
70	R1	2026-08-14T01:57:10,969866625-0700	82.972008	3953	3512	4460	2656	427309	167	784532	92940
71	R1	2026-08-14T01:57:11,801011208-0700	83.809408	3953	3512	4460	2656	427309	167	783788	92940
72	R1	2026-08-14T01:57:12,607208541-0700	84.616010	3953	3512	4460	2656	427309	167	783768	92940
73	R1	2026-08-14T01:57:14,728115040-0700	86.727826	3953	3480	4440	2656	427309	167	767564	92940
74	R1	2026-08-14T01:57:15,621078540-0700	87.630196	3953	3480	4440	2656	427309	167	765792	92940
75	R1	2026-08-14T01:57:16,411875957-0700	88.418364	3953	3480	4440	2656	427309	167	765600	92940
76	R1	2026-08-14T01:57:17,180074540-0700	89.188246	3953	3480	4440	2656	427309	167	766316	92940
77	R1	2026-08-14T01:57:18,279886706-0700	90.286241	3953	3476	4440	2656	427309	167	788384	92940
78	R1	2026-08-14T01:57:19,362004623-0700	91.365012	3953	3476	4440	2656	427309	167	783824	92940
79	R1	2026-08-14T01:57:20,462707539-0700	92.467595	3953	3476	4440	2656	427309	167	781992	92940
80	R1	2026-08-14T01:57:21,430816205-0700	93.438366	3953	3476	4440	2656	427309	167	780792	92940
81	R1	2026-08-14T01:57:22,353943789-0700	94.363343	3953	3476	4440	2656	427309	167	779960	92940
82	R1	2026-08-14T01:57:23,164968788-0700	95.175997	3953	3476	4440	2656	427309	167	781152	92940
83	R1	2026-08-14T01:57:23,944581955-0700	95.946878	3953	3476	4440	2656	427309	167	781504	92940
84	R1	2026-08-14T01:57:24,728864871-0700	96.737828	3953	3476	4440	2656	427309	167	781856	92940
85	R1	2026-08-14T01:57:25,426895371-0700	97.435598	3953	3476	4440	2656	427309	167	781920	92940
86	R1	2026-08-14T01:57:26,170380788-0700	98.178587	3953	3476	4440	2656	427309	167	782596	92940
87	R1	2026-08-14T01:57:26,864130954-0700	98.871921	3953	3476	4440	2656	427309	167	783160	92940
88	R1	2026-08-14T01:57:27,559760537-0700	99.570037	3953	3476	4440	2656	427309	167	783172	92940
89	R1	2026-08-14T01:57:28,325253620-0700	100.334458	3953	3476	4440	2656	427309	167	782648	92940
90	R1	2026-08-14T01:57:29,045536870-0700	101.056366	3953	3476	4440	2656	427309	167	783488	92940
91	R1	2026-08-14T01:57:29,916291120-0700	101.927279	3953	3476	4440	2656	427309	167	778936	92940
92	R1	2026-08-14T01:57:30,663934537-0700	102.673993	3953	3476	4440	2656	427309	167	779568	92940
93	R1	2026-08-14T01:57:31,379169953-0700	103.390001	3953	3476	4440	2656	427309	167	779520	92940
94	R1	2026-08-14T01:57:32,082689370-0700	104.089885	3953	3476	4440	2656	427309	167	779976	92940
95	R1	2026-08-14T01:57:32,808618369-0700	104.814718	3953	3476	4440	2656	427309	167	779056	92940
96	R1	2026-08-14T01:57:33,496881203-0700	105.505381	3953	3476	4440	2656	427309	167	779860	92940
97	R1	2026-08-14T01:57:34,178096202-0700	106.186715	3953	3476	4440	2656	427309	167	780824	92940
98	R1	2026-08-14T01:57:34,843840369-0700	106.847773	3953	3476	4440	2656	427309	167	780976	92940
99	R1	2026-08-14T01:57:35,543905619-0700	107.551562	3953	3476	4440	2656	427309	167	782032	92940
100	R1	2026-08-14T01:57:36,210326202-0700	108.218839	3953	3476	4440	2656	427309	167	782164	92940
101	R1	2026-08-14T01:57:36,866070868-0700	108.876670	3953	3476	4440	2656	427309	167	782296	92940
102	R1	2026-08-14T01:57:37,582901785-0700	109.593061	3953	3476	4440	2656	427309	167	781936	92940
103	R1	2026-08-14T01:57:38,313618535-0700	110.322374	3953	3476	4440	2656	427309	167	781976	92940
104	R1	2026-08-14T01:57:38,992938285-0700	111.003267	3953	3476	4440	2656	427309	167	782364	92940
105	R1	2026-08-14T01:57:39,744946201-0700	111.754168	3953	3476	4440	2656	427309	167	779732	92940
106	R1	2026-08-14T01:57:40,502088784-0700	112.511181	3953	3476	4440	2656	427309	167	779516	92940
107	R1	2026-08-14T01:57:41,170083617-0700	113.178338	3953	3476	4440	2656	427309	167	780136	92940
108	R1	2026-08-14T01:57:41,880305617-0700	113.890114	3953	3476	4440	2656	427309	167	780068	92940
109	R1	2026-08-14T01:57:42,588178284-0700	114.595574	3953	3476	4440	2656	427309	167	780896	92940
110	R1	2026-08-14T01:57:43,345958784-0700	115.350957	3953	3476	4440	2656	427309	167	781292	92940
111	R1	2026-08-14T01:57:44,014196700-0700	116.024443	3953	3476	4440	2656	427309	167	780876	92940
112	R1	2026-08-14T01:57:44,710605783-0700	116.718439	3953	3476	4440	2656	427309	167	781816	92940
