cell	rep	profile	release_pct	live_set	release_order	exit	memavailable_pre_kb	released_objects	released_payload_kb	theoretical_release_kb	glibc_pd_pretrim_kb	glibc_pd_posttrim_kb	a_ceiling_kb	reclaim_pct_of_pretrim	return_pct_of_payload	theoretical_to_reclaimed_ratio	mi_measure_fast_b	mi_measure_rest_b	mi_measure_unsorted_b	mi_release_fast_b	mi_release_rest_b	mi_release_unsorted_b	mi_posttrim_fast_b	mi_posttrim_rest_b	mi_posttrim_unsorted_b	mi_idle_fast_b	mi_idle_rest_b	mi_idle_unsorted_b	mi_release_rest_delta_b	mi_release_unsorted_delta_b	arena_measure	arena_release	arena_posttrim	arena_idle	throughput_ops_s	p99_ns	trim_ret	trim_elapsed_ms	posttrim_minflt	posttrim_majflt
baseline	1	mixed	50	4096	high	0	3405536	8192	51866.203125	50247.68	112312	52164	60148	53.554384215399956	115.9676174001796	0.8354006783267939	0	12059651	69985	152	65233202	59419046	0	65245237	59419192	0	33937156	75670	53173551	59349061	5	5	5	5	2022722.568	1227	1	13.449222	1579	0
baseline	2	mixed	50	4096	high	0	3375632	8192	51721.71875	50247.68	112112	53592	58520	52.1978021978022	113.14395850389252	0.8586411483253589	0	10462348	28735	168	63486257	57040559	0	63383619	57039288	0	33222755	83589	53023909	57011824	5	5	5	5	2026878.134	1227	1	12.827482	1530	0
baseline	3	mixed	50	4096	high	0	3402184	8192	50472.265625	50247.68	111680	49944	61736	55.279369627507165	122.31668072657477	0.8139121420241027	0	16328519	127065	0	68074318	58050698	0	68086207	58050698	0	34651396	67988	51745799	57923633	5	5	5	5	2014052.526	1235	1	13.621408	1669	0
live1024	1	mixed	50	1024	high	0	3406136	2048	12107.5	12561.92	31036	13708	17328	55.83193710529707	143.11790212678093	0.7249492151431209	0	8111476	18550	456	20520630	15343680	0	20532961	15344347	0	8646010	84007	12409154	15325130	5	5	5	5	2609085.484	778	1	4.560889	918	0
live1024	2	mixed	50	1024	high	0	3413100	2048	11445.625	12561.92	31456	15004	16452	52.30162767039675	143.74051220444494	0.7635497203987357	0	7469526	26669	72	19202114	15172184	0	19214081	15173271	0	8593677	96303	11732588	15145515	5	5	5	5	2614028.829	768	1	4.076389	934	0
live1024	3	mixed	50	1024	high	0	3391072	2048	11628.96875	12561.92	30508	14724	15784	51.73724924609938	135.7300061538131	0.795864166244298	0	7699235	106840	168	19617481	14460714	0	19629535	14460879	0	8669805	112647	11918246	14353874	5	5	5	5	2618949.098	769	1	4.394482	867	0
live16384	1	mixed	50	16384	high	0	3399112	32768	152817.046875	200990.72	377116	224196	152920	40.54985733832561	100.06737018356611	1.3143520795187027	0	33265043	26486	104	190012182	164616382	0	190024172	164616483	0	156638692	4810	156747139	164589896	5	5	5	5	1680296.522	1977	1	34.847277	1650	0
live16384	2	mixed	50	16384	high	0	3392260	32768	154101.796875	200990.72	378864	223992	154872	40.87799315849487	100.49980152121442	1.2977860426674932	0	33913836	34843	112	191973869	165240587	0	191985866	165240695	0	158015549	88718	158060033	165205744	5	5	5	5	1684230.291	1975	1	36.201481	1612	0
live16384	3	mixed	50	16384	high	0	3394476	32768	153624.203125	200990.72	376784	222380	154404	40.97944711028069	100.50760027335373	1.3017196445687935	0	33641116	154705	168	191212297	165548993	0	191224347	165549154	0	154515037	45083	157571181	165394288	5	5	5	5	1651514.467	2024	1	36.29013	1703	0
order_interleave	1	mixed	50	4096	interleave	0	3398992	8192	50478.78125	50247.68	111276	66124	45152	40.576584348826344	89.4474844318869	1.1128561304039688	0	12618400	49269	432	64379137	62028586	0	64276782	62029988	0	33348171	83510	51760737	61979317	5	5	5	5	2026971.871	1228	1	20.452074	315	0
