cell	rep	profile	release_pct	live_set	release_order	exit	memavailable_pre_kb	released_objects	released_payload_kb	theoretical_release_kb	glibc_pd_pretrim_kb	glibc_pd_posttrim_kb	a_ceiling_kb	reclaim_pct_of_pretrim	return_pct_of_payload	theoretical_to_reclaimed_ratio	mi_measure_fast_b	mi_measure_rest_b	mi_measure_unsorted_b	mi_release_fast_b	mi_release_rest_b	mi_release_unsorted_b	mi_posttrim_fast_b	mi_posttrim_rest_b	mi_posttrim_unsorted_b	mi_idle_fast_b	mi_idle_rest_b	mi_idle_unsorted_b	mi_release_rest_delta_b	mi_release_unsorted_delta_b	arena_measure	arena_release	arena_posttrim	arena_idle	throughput_ops_s	p99_ns	trim_ret	trim_elapsed_ms	posttrim_minflt	posttrim_majflt
order_interleave	2	mixed	50	4096	interleave	0	3381968	8192	50078.875	50247.68	111332	64592	46740	41.98253871303848	93.3327675591754	1.0750466409927257	0	14153341	52232	272	65503246	63428828	0	65515417	63429655	0	33586981	67611	51349905	63376596	5	5	5	5	2029012.761	1218	1	19.920815	418	0
order_interleave	3	mixed	50	4096	interleave	0	3389824	8192	50075.8125	50247.68	110956	65968	44988	40.545801939507555	89.83978043291859	1.116912954565662	0	12214035	11806	536	63560367	61542034	0	63572809	61544528	0	32588038	66820	51346332	61530228	5	5	5	5	2022802.214	1233	1	19.918723	348	0
pct25	1	mixed	25	4096	high	0	3372560	4096	25153.5	25123.84	107404	73376	34028	31.682246471267366	135.28137237362594	0.7383284354061361	0	15682203	42831	72	41468252	28992102	0	41480210	28992171	0	25359577	67611	25786049	28949271	5	5	5	5	2021210.361	1220	1	9.17137	792	0
pct25	2	mixed	25	4096	high	0	3397868	4096	23206.609375	25123.84	110528	79612	30916	27.971192819918933	133.22066787277063	0.8126484668133006	0	12013673	87076	392	35805931	26461119	0	35818204	26461520	0	20440710	67611	23792258	26374043	5	5	5	5	2022677.291	1222	1	7.974741	756	0
pct25	3	mixed	25	4096	high	0	3379516	4096	24856.3125	25123.84	111600	78380	33220	29.767025089605735	133.64814270016922	0.7562865743527996	0	12173591	34879	216	37655354	27754952	0	37667453	27755179	0	23975754	73724	25481763	27720073	5	5	5	5	2017909.202	1234	1	8.062297	660	0
pct75	1	mixed	75	4096	high	0	3384468	12288	76508.59375	75371.52	111628	27080	84548	75.74085354928872	110.50784736191808	0.8914642569901122	0	12696229	1554	152	91136662	88566884	0	91148699	88567032	0	43345254	73381	78440433	88565330	5	5	5	5	2026738.85	1227	1	18.349129	2893	0
pct75	2	mixed	75	4096	high	0	3408556	12288	75559.828125	75371.52	111100	26996	84104	75.7011701170117	111.30782333287632	0.8961704556263674	0	12092713	70701	120	89561396	86955713	0	89573401	86955829	0	41456366	70293	77468683	86885012	5	5	5	5	1993988.63	1239	1	17.853611	2872	0
pct75	3	mixed	75	4096	high	0	3381448	12288	74586.359375	75371.52	112352	25980	86372	76.87624608373683	115.80133515532646	0.872638355022461	0	17308934	6171	72	93780090	86129690	0	93792049	86129760	0	45582010	69749	76471156	86123519	5	5	5	5	2013499.147	1239	1	18.409333	2973	0
pct90	1	mixed	90	4096	high	0	3402580	14744	91422.234375	90445.824	109908	12688	97220	88.45579939585835	106.34174570840005	0.9303211684838509	0	10696032	57413	48	104426469	101956381	0	104438405	101956428	0	47034454	70309	93730437	101898968	5	5	5	5	2017853.771	1228	1	20.267092	3893	0
pct90	2	mixed	90	4096	high	0	3379476	14744	89191.25	90445.824	111916	12904	99012	88.46992387147503	111.01088952111334	0.913483456550721	0	15559305	33842	216	107004529	102117603	0	107016626	102117811	0	49890293	72877	91445224	102083761	5	5	5	5	2028392.898	1222	1	20.701111	3871	0
pct90	3	mixed	90	4096	high	0	3408104	14744	89518.03125	90445.824	111208	12008	99200	89.20221566793757	110.81566318517534	0.9117522580645161	0	14456749	76616	0	106239017	103500595	0	106250906	103500595	0	48898965	71365	91782268	103423979	5	5	5	5	2024278.935	1232	1	26.339093	3827	0
size_medium	1	external:/root/l6_curve/medium_1k_16k.hist	50	4096	high	0	3413480	8192	49396.0	50790.4	108416	53292	55124	50.84489374262102	111.59608065430399	0.9213845149118352	0	9243904	24644	0	59890973	53944713	0	59902990	53944713	0	26988263	43027	50647069	53920069	5	5	5	5	1756503.437	1116	1	12.240537	3095	0
size_medium	2	external:/root/l6_curve/medium_1k_16k.hist	50	4096	high	0	3403236	8192	50151.0	50790.4	107240	53416	53824	50.19022752704215	107.32388187673227	0.9436385255648039	0	8943673	26660	0	60364170	56229162	0	60376187	56229162	0	27713564	42996	51420497	56202502	5	5	5	5	1718731.421	1173	1	11.996426	3075	0
size_medium	3	external:/root/l6_curve/medium_1k_16k.hist	50	4096	high	0	3393000	8192	49996.0	50790.4	107700	53200	54500	50.603528319405754	109.00872069765582	0.9319339449541285	0	8632796	33829	0	59894347	54337360	0	59906364	54337360	0	27392103	49213	51261551	54303531	5	5	5	5	1744789.647	1138	1	12.105574	3004	0
size_small	1	small-churn	50	4096	high	0	3401588	8192	870.03125	793.6	1888	1364	524	27.75423728813559	60.227721705398515	1.5145038167938931	33016	341498	794	94488	1325693	970585	0	1430526	1078198	3376	836013	16956	984195	969791	5	5	5	5	2845630.758	688	1	0.820759	61	0
size_small	2	small-churn	50	4096	high	0	3409224	8192	858.640625	793.6	1892	1364	528	27.906976744186046	61.49254817753353	1.5030303030303032	29480	360390	3830	96184	1337591	964375	0	1444171	1087795	3336	837632	32908	977201	960545	5	5	5	5	2844917.935	676	1	0.852166	58	0
size_small	3	small-churn	50	4096	high	0	3403332	8192	867.3125	793.6	1888	1360	528	27.966101694915253	60.87771132089068	1.5030303030303032	31928	349524	5645	92536	1325113	953153	0	1428029	1073006	3128	827872	38533	975589	947508	5	5	5	5	2841764.604	684	1	0.778333	54	0
x_medium90_large	1	external:/root/l6_curve/medium_1k_16k.hist	90	16384	high	0	3369884	58980	362551.0	365690.88	421048	47012	374036	88.83452717979898	103.16783018113314	0.9776889925033954	0	17655573	27684	0	389381871	386087052	0	389401681	386087052	0	306615515	2151516	371726298	386059368	5	5	5	5	1474957.091	1724	1	78.47937	9420	0
x_medium90_large	2	external:/root/l6_curve/medium_1k_16k.hist	90	16384	high	0	3383468	58980	366340.0	365690.88	417584	45052	372532	89.21127246254646	101.69023311677677	0.981636154746438	0	15681638	17405	0	391288130	387554814	0	391300019	387554814	0	308374946	1158355	375606492	387537409	5	5	5	5	1477027.549	1704	1	82.857185	9467	0
x_medium90_large	3	external:/root/l6_curve/medium_1k_16k.hist	90	16384	high	0	3387176	58980	365135.0	365690.88	419812	45908	373904	89.06462892913972	102.40157749873335	0.9780341478026445	0	15031964	31732	0	389404649	387140254	0	389416538	387140254	0	306197670	2079781	374372685	387108522	5	5	5	5	1481516.743	1681	1	80.297371	9502	0
x_mixed75_large_interleave	1	mixed	75	16384	interleave	0	3385024	49152	326591.171875	301486.08	376252	95188	281064	74.70099826711885	86.0598890001763	1.0726598924088464	0	27009557	7469	72	360219807	356998332	0	360231765	356998401	0	286490850	0	333210250	356990863	5	5	5	5	1690286.993	1944	1	74.384944	431	0
x_mixed75_large_interleave	2	mixed	75	16384	interleave	0	3393524	49152	324707.265625	301486.08	377576	94888	282688	74.86916541305591	87.05933926543933	1.0664976228209193	0	32332407	49294	72	365081243	360557064	0	365093202	360557134	0	289754443	5138	332748836	360507770	5	5	5	5	1667988.534	2004	1	77.617926	435	0
x_mixed75_large_interleave	3	mixed	75	16384	interleave	0	3361252	49152	328037.25	301486.08	378532	94748	283784	74.96961947734934	86.50968754310676	1.0623787105686016	0	27897939	45135	0	363326873	360533152	0	363338762	360533152	0	289661294	1058	335428934	360488017	5	5	5	5	1686198.34	1942	1	82.048518	428	0
x_small90_large_interleave	1	small-churn	90	16384	interleave	0	3393456	58980	5794.640625	5713.92	5472	1612	3860	70.54093567251462	66.61327681559199	1.4802901554404144	62264	543435	2935	601024	6534833	6080745	0	7140054	6574061	224	5728579	17684	5991398	6077810	5	5	5	5	2572625.115	832	1	5.520463	113	0
x_small90_large_interleave	2	small-churn	90	16384	interleave	0	3390368	58980	5756.859375	5713.92	5368	1740	3628	67.58569299552906	63.020472859822114	1.5749503858875413	59048	594985	11929	742368	6288680	5992271	0	7042886	6316908	256	5622626	49148	5693695	5980342	5	5	5	5	2573095.871	848	1	6.082871	115	0
x_small90_large_interleave	3	small-churn	90	16384	interleave	0	3404396	58980	5818.203125	5713.92	6512	2264	4248	65.23341523341523	73.01223262121843	1.345084745762712	73176	511819	7262	599664	6550560	6052619	0	7154273	6375310	336	5738357	29812	6038741	6045357	5	5	5	5	2566431.307	853	1	5.066944	118	0
