MemTotal:        8117408 kB
MemFree:         6558612 kB
MemAvailable:    6793892 kB
Buffers:           41656 kB
Cached:           895988 kB
SwapCached:            0 kB
Active:           440920 kB
Inactive:         129952 kB
Active(anon):     220324 kB
Inactive(anon):    56748 kB
Active(file):     220596 kB
Inactive(file):    73204 kB
Unevictable:      640016 kB
Mlocked:              12 kB
HighTotal:       7458816 kB
HighFree:        6249912 kB
LowTotal:         658592 kB
LowFree:          308700 kB
SwapTotal:       3246960 kB
SwapFree:        3246960 kB
Dirty:                40 kB
Writeback:             0 kB
AnonPages:        273360 kB
Mapped:            25888 kB
Shmem:            643844 kB
KReclaimable:      16936 kB
Slab:              59052 kB
SReclaimable:      16936 kB
SUnreclaim:        42116 kB
KernelStack:        3512 kB
PageTables:         6744 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     7305664 kB
Committed_AS:    3263984 kB
VmallocTotal:     245760 kB
VmallocUsed:       26608 kB
VmallocChunk:          0 kB
Percpu:             1120 kB
CmaTotal:         327680 kB
CmaFree:           90860 kB

RC=0
DONE_MEMINFO
