order	arm	rep	business_samples	business_p50_ms	business_p95_ms	business_p99_ms	business_min_ms	business_max_ms	trim_calls	trim_p50_ms	trim_p95_ms	trim_p99_ms	trim_max_ms	reclaimed_median_kb	reclaimed_min_kb	reclaimed_max_kb	reclaim_pct_of_pre_median	primary_minflt_sum	primary_majflt_sum	external_samples	external_overruns	exit_code
1	none	1	50	20006.962433	20011.052933	20013.565747	20006.341136	20013.565747	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4759	0	1085	0	0
2	trim-at-loop-release	1	50	20008.87134	20014.596951	20028.41534	20008.293563	20028.41534	51	0.676167	0.829481	0.839518	0.839518	980.0	768.0	1308.0	35.714286	22498	0	1085	0	0
3	trim-at-loop-release	2	50	20008.781192	20011.997933	20015.223136	20008.076062	20015.223136	51	0.6665	0.767833	0.78087	0.78087	1052.0	824.0	1316.0	37.252125	22604	0	1084	0	0
4	none	2	50	20007.049026	20011.546673	20016.408137	20006.40621	20016.408137	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4640	0	1085	0	0
5	none	3	50	20006.875099	20017.504506	20020.349914	20006.333062	20020.349914	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2974	0	1086	0	0
6	trim-at-loop-release	3	50	20008.832895	20010.868544	20022.636748	20007.990469	20022.636748	51	0.664296	0.819129	0.856944	0.856944	1020.0	840.0	1316.0	36.585366	23431	0	1086	0	0
