AppProcA	3772	1
AppProcB	2556	1
AppProcD	562	1
ServiceH	4042	1
enlightenment	265	0
ServiceD	1048	0
ServiceF	1595	0
ServiceL	613	0
ServiceC	669	0
ServiceE	572	1
