AppProcA	4960	37.3
AppProcB	14872	44.5
AppProcD	10080	28.4
ServiceV	928	33.0
ServiceH	3412	31.2
enlightenment	2936	20.4
ServiceD	1948	25.5
ServiceF	996	14.9
pulseaudio	356	29.6
ServiceR	284	22.8
ServiceL	964	23.7
ServiceC	1072	15.7
ServiceE	7912	40.6
