AppProcA	3772	1	3772	1	4960	37.3
AppProcB	2556	1	2556	1	14872	44.5
AppProcD	562	1	562	1	10080	28.4
ServiceH	4042	1	3999	1	3412	31.2
enlightenment	265	0	265	0	2936	20.4
ServiceD	1048	0	1048	0	1948	25.5
ServiceF	1595	0	1595	0	996	14.9
ServiceL	613	0	613	0	964	23.7
ServiceC	669	0	669	0	1072	15.7
ServiceE	572	1	572	1	7912	40.6
