sample	epoch_ns	monotonic_ns	read_end_ns	target	pid	start_ticks	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	total_pd_kb	minflt	majflt	compact_smaps	MemAvailable_kb	zram_used_kb	zram_orig_bytes	zram_compr_bytes	zram_mem_used_bytes	globals_start_ns	globals_end_ns
0	1789617932770065479	1462290810085501	1462293918848848	Supplemental01	449	684	22636	49896	6156	78688	785634	544	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932673427289	1462290713447273	1462293095774578	Supplemental02	1016	3004	16584	6948	3356	26888	2163827	1141	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932803564045	1462290843584005	1462293945734701	Supplemental03	785	1779	14464	13208	6476	34148	506074	143	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932734532018	1462290774551994	1462293309416159	Supplemental04	450	686	8720	2216	7800	18736	27694	351	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932918799976	1462290958819831	1462293391532718	Supplemental05	2686	14673	6944	5032	11776	23752	522163	31	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932878590038	1462290918609765	1462293190366533	Supplemental06	657	1358	4636	7852	1548	14036	1066598	1039	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932836239935	1462290876260092	1462292866298750	enlightenment_243	243	288	4552	1180	3028	8760	3885037	115	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617933001577169	1462291041597027	1462293207166471	ServiceH_1975	1975	3218568	3276	4652	3040	10968	22187	5	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617932966044006	1462291006063983	1462292339259337	Supplemental09	1051	3100	1744	6380	692	8816	2971117	1506	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617933052208215	1462291092228124	1462291732054173	Supplemental10	206	249	1612	512	124	2248	196240	849	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
0	1789617933036830349	1462291076850248	1462292909112553	ServiceA_684	684	1501	208	336	1124	1668	9082	202	0	932372	98596	98684928	26297329	36356096	1462290563770926	1462291736669160
