order	arm	rep	samples	deadline_overruns	minflt_delta	majflt_delta
1	none	1	1084	0	3574	0
2	trim-at-loop-release	1	1085	0	23525	0
3	trim-at-loop-release	2	1084	0	24112	0
4	none	2	1085	0	5297	0
5	none	3	1086	0	4494	0
6	trim-at-loop-release	3	1086	0	23768	0
