id	group	profile	arm	rep	cycle	pid	starttime	rss_pre_kib	rss_post_kib	rss_drop_kib	rss_drop_mib	rss_drop_mb	rss_drop_pct	heap_pre_kib	heap_post_kib	heap_drop_kib	heap_drop_mib	heap_drop_mb	heap_drop_pct	other_kib_pre	other_kib_post	total_pd_kib_pre	total_pd_kib_post	MemAvailable_pre	MemAvailable_post	MemFree_pre	MemFree_post	Cached_pre	Cached_post	memps_heap_pdata_kib_pre	memps_heap_pdata_kib_post	memps_all_pdata_kib_pre	memps_all_pdata_kib_post	memavailable_delta_kib	memavailable_delta_mib	memavailable_delta_mb	capture_minflt	capture_majflt	pre_capture_ms	post_capture_ms	trim_elapsed_ms	next_cycle_minflt	next_cycle_majflt	business_elapsed_ms	released_payload_bytes	idle_120s_minflt	idle_120s_majflt	memavailable_net_kib	memavailable_net_mib	memavailable_net_mb
G4_trim_r1	G4	enlightenment	trim	1	1	498	1489	11972	11880	92	0.089844	0.094208	0.768460	3208	3120	88	0.085938	0.090112	2.743142	1536	1532	7084	6992	6942068	6954592	6806744	6819040	741016	741084	3108	3020	7084	6992	12524	12.230469	12.824576	1	0	89.451908	87.593574	1861.981721	NA	NA	NA	NA	1	0	NA	NA	NA
G4_trim_r2	G4	enlightenment	trim	2	1	498	1489	11884	11884	0	0.000000	0.000000	0.000000	3124	3124	0	0.000000	0.000000	0.000000	1532	1532	6996	6996	6936712	6927432	6800064	6790600	759072	771100	3024	3024	6996	6996	-9280	-9.062500	-9.502720	1	0	86.879944	110.458759	1899.209517	NA	NA	NA	NA	0	0	NA	NA	NA
G4_trim_r3	G4	enlightenment	trim	3	1	498	1489	11884	11880	4	0.003906	0.004096	0.033659	3124	3120	4	0.003906	0.004096	0.128041	1532	1532	6996	6992	6871736	6880112	6734012	6742200	817184	817356	3024	3020	6996	6992	8376	8.179688	8.577024	0	0	87.574037	87.492889	1963.377091	NA	NA	NA	NA	1	0	NA	NA	NA
