MemTotal:        1599416 kB
MemFree:          130164 kB
MemAvailable:     946716 kB
Buffers:           15900 kB
Cached:           687464 kB
SwapCached:          584 kB
Active:           759952 kB
Inactive:         391008 kB
Active(anon):     334016 kB
Inactive(anon):     3612 kB
Active(file):     425936 kB
Inactive(file):   387396 kB
Unevictable:        7012 kB
Mlocked:            7012 kB
HighTotal:       1037568 kB
HighFree:          70116 kB
LowTotal:         561848 kB
LowFree:           60048 kB
SwapTotal:       1039320 kB
SwapFree:         940468 kB
Dirty:                72 kB
Writeback:             0 kB
AnonPages:        332336 kB
Mapped:           215244 kB
Shmem:              6164 kB
Shmem_swapped:        32 kB
KReclaimable:      38784 kB
Slab:              90564 kB
SReclaimable:      38784 kB
SUnreclaim:        51780 kB
KernelStack:        5720 kB
On-demandKStack:      16 kB
PageTables:        18844 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1839028 kB
Committed_AS:    6847264 kB
Percpu:              976 kB
CmaTotal:         311296 kB
CmaFree:            4272 kB
CmaUsed-Dev:       2724 kB
CmaUsed-User:    304300 kB
zram0: 96628 kB OrigDataSize, 25753 kB ComprDataSize, 35504 kB MemUsedTotal

RC=0
DONE
