COLLECTOR_PID=16160
  PID  PPID TT                        STARTED     ELAPSED COMMAND
    1     0 ?        Wed Sep  9 11:38:51 2026    02:48:02 /sbin/init
    2     0 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kthreadd]
    3     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [pool_workqueue_release]
    4     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-kvfree_rcu_reclaim]
    5     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-rcu_gp]
    6     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-sync_wq]
    7     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-slub_flushwq]
    8     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-netns]
   13     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-mm_percpu_wq]
   14     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [rcu_tasks_rude_kthread]
   15     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [rcu_tasks_trace_kthread]
   16     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [ksoftirqd/0]
   17     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [rcu_sched]
   18     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [rcu_exp_par_gp_kthread_worker/0]
   19     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [rcu_exp_gp_kthread_worker]
   20     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [migration/0]
   21     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [cpuhp/0]
   22     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [cpuhp/1]
   23     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [migration/1]
   24     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [ksoftirqd/1]
   27     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [cpuhp/2]
   28     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [migration/2]
   29     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [ksoftirqd/2]
   32     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [cpuhp/3]
   33     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [migration/3]
   34     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [ksoftirqd/3]
   37     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/u17:0-events_unbound]
   38     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/u18:0-flush-179:0]
   39     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/u19:0-ext4-rsv-conversion]
   41     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kdevtmpfs]
   42     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-inet_frag_wq]
   43     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kauditd]
   44     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [khungtaskd]
   45     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [oom_reaper]
   46     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/u17:1-events_unbound]
   47     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-writeback]
   48     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kcompactd0]
   49     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-cryptd]
   50     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-kblockd]
   51     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-blkcg_punt_bio]
   52     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/u20:1-ext4-rsv-conversion]
   55     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [watchdogd]
   57     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/1:1H-kblockd]
   58     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-rpciod]
   59     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-xprtiod]
   60     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/R-cfg80211]
   61     2 ?        Wed Sep  9 11:38:51 2026    02:48:02 [kworker/u18:2-writeback]
   62     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kswapd0]
   63     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/R-nfsiod]
   64     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/u21:0-hci0]
   65     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/u22:0]
   66     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/u23:0]
   67     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/u24:0]
   68     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/u25:0]
   69     2 ?        Wed Sep  9 11:38:51 2026    02:48:01 [kworker/R-kthrotld]
