  PID  PPID TT       COMMAND         COMMAND
  145     2 ?        kworker/R-mmc_c [kworker/R-mmc_complete]
  146     2 ?        kworker/0:1H-mm [kworker/0:1H-mmc_complete]
  189     2 ?        jbd2/mmcblk0p6- [jbd2/mmcblk0p6-8]
  190     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
  197     2 ?        kworker/2:1H-kb [kworker/2:1H-kblockd]
  225     2 ?        jbd2/mmcblk0p2- [jbd2/mmcblk0p2-8]
  226     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
  230     2 ?        jbd2/mmcblk0p3- [jbd2/mmcblk0p3-8]
  231     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
  233     2 ?        jbd2/mmcblk0p10 [jbd2/mmcblk0p10-8]
  234     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
  272     2 ?        jbd2/mmcblk0p9- [jbd2/mmcblk0p9-8]
  273     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
  281     2 ?        f2fs_ckpt-179:5 [f2fs_ckpt-179:5]
  282     2 ?        f2fs_flush-179: [f2fs_flush-179:5]
  283     2 ?        f2fs_discard-17 [f2fs_discard-179:5]
  300     2 ?        f2fs_gc-179:5   [f2fs_gc-179:5]
  377     2 ?        kworker/u21:1-h [kworker/u21:1-hci0]
  469     1 ?        login           login -- root
  566     2 ?        psimon          [psimon]
  582     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
  612     2 ?        kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
 1096   469 ttyS0    bash            -bash
 1664     2 ?        kworker/0:2H    [kworker/0:2H]
 1767     2 ?        kworker/u18:0-k [kworker/u18:0-kvfree_rcu_reclaim]
 2822     2 ?        kworker/u19:3-e [kworker/u19:3-ext4-rsv-conversion]
 3075     2 ?        kworker/u17:2-e [kworker/u17:2-events_unbound]
 4627     2 ?        kworker/u18:3-e [kworker/u18:3-events_unbound]
 4835     2 ?        kworker/u17:1-e [kworker/u17:1-events_unbound]
 7196     2 ?        kworker/1:2H    [kworker/1:2H]
 7344     2 ?        kworker/3:2-eve [kworker/3:2-events]
 7472     2 ?        kworker/0:1-eve [kworker/0:1-events_power_efficient]
 8952     2 ?        kworker/u16:2-v [kworker/u16:2-v3d_render]
 9179     2 ?        kworker/2:1-eve [kworker/2:1-events]
10339     2 ?        kworker/0:2-rcu [kworker/0:2-rcu_gp]
10394     2 ?        kworker/u16:0-v [kworker/u16:0-v3d_render]
10732     2 ?        kworker/1:1-mm_ [kworker/1:1-mm_percpu_wq]
11094     2 ?        kworker/u19:1-f [kworker/u19:1-flush-179:0]
11190     2 ?        kworker/2:0-rcu [kworker/2:0-rcu_gp]
11609     2 ?        kworker/3:0-mm_ [kworker/3:0-mm_percpu_wq]
11765     2 ?        kworker/0:0-eve [kworker/0:0-events]
11826     2 ?        kworker/u16:1-v [kworker/u16:1-v3d_bin]
12271     1 pts/0    sh              /bin/sh -c LC_ALL=C ps -ww -eo pid,ppid,tty,comm,args;r=$?;echo;echo RC=$r;test $r = 0 && echo DONE || echo FAIL
12273 12271 pts/0    ps              ps -ww -eo pid,ppid,tty,comm,args
13147     2 ?        kworker/u20:1-e [kworker/u20:1-events_unbound]
14278     2 ?        kworker/2:0H    [kworker/2:0H]
14470     2 ?        kworker/u18:1-e [kworker/u18:1-events_unbound]
20837     2 ?        kworker/u19:2-e [kworker/u19:2-events_unbound]
21760     2 ?        kworker/1:0-mm_ [kworker/1:0-mm_percpu_wq]
22613     2 ?        kworker/3:2H    [kworker/3:2H]
24306     2 ?        sugov:0         [sugov:0]
25223     2 ?        kworker/2:2-eve [kworker/2:2-events]
25358     2 ?        kworker/u20:0   [kworker/u20:0]
28833     2 ?        kworker/u17:0-e [kworker/u17:0-events_unbound]
30995     2 ?        kworker/3:1-eve [kworker/3:1-events]
31579     2 ?        kworker/u20:2-f [kworker/u20:2-flush-179:0]

RC=0
DONE
